,Population,ViolentCrime,PoliceShootings,State,City
Huntington Beach Police Department,195842,362,1,CA,Huntington Beach
Huntsville Police Department,184738,1507,2,AL,Huntsville
Huron Police Department,6812,71,1,CA,Huron
Independence Police Department,117381,543,1,MO,Independence
Indio Police Department,80243,468,2,CA,Indio
Inglewood Police Department,111672,739,1,CA,Inglewood
Iowa City Police Department,70855,228,1,IA,Iowa City
Irving Police Department,228367,530,1,TX,Irving
Irvington Police Department,54246,815,1,NJ,Irvington
Jacksonville Police Department,28739,217,1,AR,Jacksonville
Jacksonville Sheriff's Office,845745,5246,6,FL,Jacksonville
Jamestown Police Department,30658,168,1,NY,Jamestown
Jefferson City Police Department,8213,30,1,TN,Jefferson City
Jersey City Police Department,256886,1655,1,NJ,Jersey City
Kansas City Police Department,465514,5864,5,MO,Kansas City
Kelso Police Department,11802,72,1,WA,Kelso
Kenner Police Department,66854,193,1,LA,Kenner
Key West Police Department,25185,179,1,FL,Key West
Killeen Police Department,136539,753,1,TX,Killeen
Klamath Falls Police Department,21043,76,1,OR,Klamath Falls
Lafayette Police Department,123409,868,1,LA,Lafayette
Lake Stevens Police Department,29388,44,1,WA,Lake Stevens
Lakewood Police Department,146298,624,2,CO,Lakewood
Lakewood Police Department,146298,624,2,CO,Lakewood
Lancaster Police Department,59370,497,1,PA,Lancaster
Las Cruces Police Department,102007,332,1,NM,Las Cruces
Leesburg Police Department,20910,172,2,FL,Leesburg
Levelland Police Department,13681,67,1,TX,Levelland
Little Rock Police Department,197399,2777,4,AR,Little Rock
Long Beach Police Department,469665,2346,6,CA,Long Beach
Longview Police Department,81273,451,2,TX,Longview
Lorain Police Department,63582,304,1,OH,Lorain
Los Angeles Police Department,3878725,16524,18,CA,Los Angeles
Los Banos Police Department,36965,109,1,CA,Los Banos
Louisville Metro Police Department,671120,3644,2,KY,Louisville Metro
Lynn Police Department,91769,814,1,MA,Lynn
Lynnwood Police Department,36396,105,1,WA,Lynnwood
Madison Police Department,242523,884,2,WI,Madison
Malakoff Police Department,2327,13,1,TX,Malakoff
Martinsburg Police Department,17589,70,1,WV,Martinsburg
Memphis Police Department,657691,10894,10,TN,Memphis
Menifee Police Department,82634,99,1,CA,Menifee
Meriden Police Department,60558,175,1,CT,Meriden
Mesa Police Department,456155,1807,4,AZ,Mesa
Mesquite Police Department,144313,402,1,TX,Mesquite
Miami Gardens Police Department,111870,921,1,FL,Miami Gardens
Miami Police Department,418394,4945,1,FL,Miami
Middlefield Police Department,2707,4,1,OH,Middlefield
Middlesboro Police Department,9953,28,1,KY,Middlesboro
Middletown Police Department,27809,114,1,NY,Middletown
Midwest City Police Department,56590,359,1,OK,Midwest City
Milford Police Department,9872,83,1,DE,Milford
Milwaukee Police Department,600805,8194,4,WI,Milwaukee
Minneapolis Police Department,396206,4038,2,MN,Minneapolis
Minnetonka Police Department,51573,13,1,MN,Minnetonka
Miramar Police Department,130926,476,1,FL,Miramar
Monroeville Police Department,28401,59,2,PA,Monroeville
Montebello Police Department,63566,183,1,CA,Montebello
Monterey Park Police Department,61152,104,1,CA,Monterey Park
Moreno Valley Police Department,201284,638,1,CA,Moreno Valley
Moses Lake Police Department,21410,103,1,WA,Moses Lake
Natchitoches Police Department,18292,149,1,LA,Natchitoches
Navasota Police Department,7239,77,1,TX,Navasota
New Britain Police Department,73134,264,1,CT,New Britain
New Port Richey Police Department,14944,115,1,FL,New Port Richey
New Rochelle Police Department,78800,175,1,NY,New Rochelle
New York Police Department,8396126,52384,21,NY,New York
Newark Police Department,278246,3516,1,NJ,Newark
Norfolk Police Department,247303,1418,1,VA,Norfolk
North Port Police Department,58699,108,1,FL,North Port
North Richland Hills Police Department,65899,157,1,TX,North Richland Hills
Northampton Police Department,9937,7,1,PA,Northampton
Norwich Police Department,40485,130,1,CT,Norwich
Oakland Police Department,403887,7984,2,CA,Oakland
Oil City Police Department,10320,13,1,PA,Oil City
Oklahoma City Police Department,605034,4998,8,OK,Oklahoma City
Olathe Police Department,131342,185,1,KS,Olathe
Omaha Police Department,425076,2449,3,NE,Omaha
Orange Police Department,140304,147,1,CA,Orange
Orlando Police Department,253238,2316,5,FL,Orlando
Orono Police Department,21190,4,1,MN,Orono
Ozark Police Department,14897,86,1,AL,Ozark
Pagedale Police Department,3302,39,1,MO,Pagedale
Panama City Police,36358,322,1,FL,Panama City
Pasco Police Department,67099,158,1,WA,Pasco
Pawtucket Police Department,71305,279,1,RI,Pawtucket
Pearland Police Department,98183,152,1,TX,Pearland
Pembroke Pines Police Department,162064,275,1,FL,Pembroke Pines
Pensacola Police Department,52454,389,1,FL,Pensacola
Perth Amboy Police Department,52093,243,1,NJ,Perth Amboy
Phenix City Police Department,37266,211,2,AL,Phenix City
Philadelphia Police Department,1553153,17074,12,PA,Philadelphia
Phoenix Police Department,1502139,9492,18,AZ,Phoenix
Pittsburgh Police Department,307632,2259,1,PA,Pittsburgh
Plainfield Police Department,29644,50,1,IN,Plainfield
Pleasantville Police Department,20909,145,1,NJ,Pleasantville
Pooler Police Department,21069,35,1,GA,Pooler
Port Arthur Police Department,54032,359,1,TX,Port Arthur
Port Hueneme Police Department,21910,57,2,CA,Port Hueneme
Port Orange Police Department,56850,51,1,FL,Port Orange
Portsmouth Police Department,97018,590,1,VA,Portsmouth
Prescott Police Department,40752,124,1,AZ,Prescott
Pueblo Police Department,108062,1011,1,CO,Pueblo
Raleigh Police Department,428993,1683,1,NC,Raleigh
Rancho Cordova Police Department,67634,352,1,CA,Rancho Cordova
Red Bluff Police Department,14170,146,1,CA,Red Bluff
Redding Police Department,91035,585,1,CA,Redding
Redondo Beach Police Department,67993,160,2,CA,Redondo Beach
Reno Police Department,232561,1154,2,NV,Reno
Ridgefield Police Department,25168,0,1,CT,Ridgefield
Riverside Police Department,316423,1330,5,CA,Riverside
Rochester Police Department,210562,2107,1,NY,Rochester
Round Rock Police Department,108577,149,2,TX,Round Rock
Sacramento Police Department,478182,3137,2,CA,Sacramento
Salida Police Department,5346,11,1,CO,Salida
Salinas Police Department,155742,1001,1,CA,Salinas
San Angelo Police Department,96661,263,2,TX,San Angelo
San Antonio Police Department,1399725,8828,7,TX,San Antonio
San Bruno Police Department,42495,102,1,CA,San Bruno
San Diego Police Department,1349306,5303,6,CA,San Diego
San Fernando Police Department,23955,85,1,CA,San Fernando
San Francisco Police Department,833863,7064,1,CA,San Francisco
San Jose Police Department,992143,3215,3,CA,San Jose
Sanford Police Department,54972,447,2,FL,Sanford
Santa Ana Police Department,332848,1121,6,CA,Santa Ana
Santa Maria Police Department,102051,490,1,CA,Santa Maria
Santa Monica Police Department,92488,324,1,CA,Santa Monica
Santa Rosa Police Department,171564,541,1,CA,Santa Rosa
Schenectady Police Department,66041,607,1,NY,Schenectady
Scottsdale Police Department,225523,337,1,AZ,Scottsdale
Seattle Police Department,642814,3758,5,WA,Seattle
