,City,State,Location,Population,ViolentCrime,PoliceViolence
Fort Wayne Police Department,Fort Wayne,IN,"[41.0799898, -85.1386014]",254820,949,4
Fort Worth Police Department,Fort Worth,TX,"[32.753177, -97.3327458]",789035,4420,6
Fremont Police Department,Fremont,CA,"[37.5482697, -121.9885718]",224475,273,1
Fresno Police Department,Fresno,CA,"[36.7394421, -119.7848306]",508876,2552,2
Frisco Police Department,Frisco,TX,"[33.1506744, -96.8236115]",131769,100,0
Fullerton Police Department,Fullerton,CA,"[33.8708215, -117.9294164]",139676,372,1
Gainesville Police Department,Gainesville,FL,"[29.6519396, -82.324996]",126589,806,0
Garden Grove Police Department,Garden Grove,CA,"[33.7746292, -117.9463716]",175469,455,0
Gilbert Police Department,Gilbert,AZ,"[33.3528259, -111.7890238]",225232,193,0
Glendale Police Department,Glendale,AZ,,195366,181,1
Glendale Police Department,Glendale,CA,,195366,181,1
Grand Prairie Police Department,Grand Prairie,TX,"[32.657368, -97.0284661417504]",183822,511,2
Grand Rapids Police Department,Grand Rapids,MI,"[42.9632405, -85.6678638]",191213,1326,0
Green Bay Police Department,Green Bay,WI,"[44.5299412, -88.0248316]",105107,500,1
Greensboro Police Department,Greensboro,NC,"[36.0726355, -79.7919753]",279343,1449,1
Hartford Police Department,Hartford,CT,"[41.7634935, -72.6830522]",124927,1473,1
Hayward Police Department,Hayward,CA,"[37.6688205, -122.0807963]",150955,589,3
Henderson Police Department,Henderson,NV,"[36.0391456, -114.9819234]",268237,367,1
Hialeah Police Department,Hialeah,FL,"[25.8575963, -80.2781056]",234182,774,1
High Point Police Department,High Point,NC,"[35.9556924, -80.0053175]",107261,556,0
Hollywood Police Department,Hollywood,FL,"[26.0112014, -80.14949]",146643,720,1
Houston Police Department,Houston,TX,"[29.7589382, -95.3676973]",2180606,20993,9
Huntsville Police Department,Huntsville,AL,"[34.729847, -86.585901]",184738,1507,2
Independence Police Department,Independence,MO,"[39.0911161, -94.4155067]",117381,543,1
Inglewood Police Department,Inglewood,CA,"[33.9616801, -118.353131]",111672,739,1
Irvine Police Department,Irvine,CA,"[33.6856969, -117.8259818]",235830,113,0
Irving Police Department,Irving,TX,"[32.8629195, -96.9791701654883]",228367,530,1
Jackson Police Department,Jackson,MS,"[32.4104385, -90.162064888255]",176039,1631,0
Jersey Police Department,Jersey,NJ,,256886,1655,0
Joliet Police Department,Joliet,IL,"[41.525031, -88.0817251]",148462,557,0
Kansas Police Department,Kansas,KS,,465514,5864,0
Kansas Police Department,Kansas,MO,,465514,5864,0
Kent Police Department,Kent,WA,"[47.3826903, -122.2270271]",124359,319,0
Knoxville Police Department,Knoxville,TN,"[35.9603948, -83.921026]",183249,1541,0
Lafayette Police Department,Lafayette,LA,"[30.2240897, -92.0198426]",123409,868,1
Lakeland Police Department,Lakeland,FL,"[28.0394654, -81.9498041]",100725,460,0
Lakewood Police Department,Lakewood,CO,"[39.6246085, -105.084203902224]",146298,624,2
Lansing Police Department,Lansing,MI,"[42.7337712, -84.5553804]",113907,1204,0
Laredo Police Department,Laredo,TX,"[27.5060991, -99.5088978]",247353,1027,0
Las Cruces Police Department,Las Cruces,NM,"[32.3140354, -106.7798077]",102007,332,1
Lewisville Police Department,Lewisville,TX,"[33.046233, -96.9941739]",100710,243,0
Lincoln Police Department,Lincoln,NE,"[40.8, -96.6678209]",267565,990,0
Little Rock Police Department,Little Rock,AR,"[34.7464809, -92.2895947]",197399,2777,4
Long Beach Police Department,Long Beach,CA,"[33.78538945, -118.158049215311]",469665,2346,6
Los Angeles Police Department,Los Angeles,CA,"[34.054935, -118.2444759]",3878725,16524,18
Louisville Metro Police Department,Louisville Metro,KY,"[38.14594255, -85.8376599711079]",671120,3644,2
Lowell Police Department,Lowell,MA,"[42.6334247, -71.3161717]",109449,625,0
Lubbock Police Department,Lubbock,TX,"[33.5778631, -101.8551664]",237875,1829,0
Manchester Police Department,Manchester,NH,"[42.9956397, -71.454789]",110411,747,0
McAllen Police Department,McAllen,TX,"[26.2043691, -98.2300819]",136169,171,0
McKinney Police Department,McKinney,TX,"[33.1976496, -96.615447]",146869,207,0
Memphis Police Department,Memphis,TN,"[35.1490215, -90.0516284]",657691,10894,10
Mesa Police Department,Mesa,AZ,"[33.4153143, -111.831264]",456155,1807,4
Miami Police Department,Miami,FL,"[25.7742658, -80.1936588]",418394,4945,1
Midland Police Department,Midland,TX,"[31.9973662, -102.0779481]",122259,350,0
Milwaukee Police Department,Milwaukee,WI,"[43.0349931, -87.9224969]",600805,8194,4
Minneapolis Police Department,Minneapolis,MN,"[44.9772995, -93.2654691]",396206,4038,2
Miramar Police Department,Miramar,FL,"[25.97591145, -80.3347211811522]",130926,476,1
Modesto Police Department,Modesto,CA,"[37.6390972, -120.9968781]",204252,1704,0
Murfreesboro Police Department,Murfreesboro,TN,"[35.9155165, -86.4446933327789]",115587,705,0
Naperville Police Department,Naperville,IL,"[41.7729107, -88.1478669]",144221,105,0
New Haven Police Department,New Haven,CT,"[41.3082138, -72.9250517]",131071,1643,0
New Orleans Police Department,New Orleans,LA,"[29.9499323, -90.0701155]",377022,2965,0
