,Population,ViolentCrime,PoliceShootings,State,City
Kansas City Police Department,465514,5864,5,MO,Kansas City
Kent Police Department,124359,319,0,WA,Kent
Knoxville Police Department,183249,1541,0,TN,Knoxville
Lafayette Police Department,123409,868,1,LA,Lafayette
Lakeland Police Department,100725,460,0,FL,Lakeland
Lakewood Police Department,146298,624,1,CO,Lakewood
Lansing Police Department,113907,1204,0,MI,Lansing
Laredo Police Department,247353,1027,0,TX,Laredo
Las Cruces Police Department,102007,332,1,NM,Las Cruces
Las Vegas Metropolitan Police Department,0,0,0,0,0
Lewisville Police Department,100710,243,0,TX,Lewisville
Lexington-Fayette County Police,0,0,0,0,0
Lincoln Police Department,267565,990,0,NE,Lincoln
Little Rock Police Department,197399,2777,3,AR,Little Rock
Long Beach Police Department,469665,2346,6,CA,Long Beach
Los Angeles Police Department,3878725,16524,18,CA,Los Angeles
Louisville Metro Police Department,671120,3644,2,KY,Louisville Metro
Lowell Police Department,109449,625,0,MA,Lowell
Lubbock Police Department,237875,1829,0,TX,Lubbock
Manchester Police Department,110411,747,0,NH,Manchester
McAllen Police Department,136169,171,0,TX,McAllen
McKinney Police Department,146869,207,0,TX,McKinney
Memphis Police Department,657691,10894,10,TN,Memphis
Mesa Police Department,456155,1807,4,AZ,Mesa
Miami Police Department,418394,4945,1,FL,Miami
Miami-Dade County Police Department,0,0,0,0,0
Midland Police Department,122259,350,0,TX,Midland
Milwaukee Police Department,600805,8194,4,WI,Milwaukee
Minneapolis Police Department,396206,4038,2,MN,Minneapolis
Miramar Police Department,130926,476,1,FL,Miramar
Mobile Police Department,0,0,0,0,0
Modesto Police Department,204252,1704,0,CA,Modesto
Montgomery County Police Department,0,0,0,0,0
Montgomery Police Department,0,0,0,0,0
Murfreesboro Police Department,115587,705,0,TN,Murfreesboro
Naperville Police Department,144221,105,0,IL,Naperville
Nashville Metro Police Department,0,0,0,0,0
New Haven Police Department,131071,1643,0,CT,New Haven
New Orleans Police Department,377022,2965,0,LA,New Orleans
New York City Police Department,0,0,0,0,0
Newark Police Department,278246,3516,1,NJ,Newark
Newport News Police Department,181074,795,0,VA,Newport News
Norfolk Police Department,247303,1418,1,VA,Norfolk
Norman Police Department,116970,178,0,OK,Norman
North Charleston Police Department,103324,693,0,SC,North Charleston
North Las Vegas Police Department,225632,1806,0,NV,North Las Vegas
Oakland Police Department,403887,7984,2,CA,Oakland
Oceanside Police Department,172525,634,0,CA,Oceanside
Oklahoma City Police Department,605034,4998,8,OK,Oklahoma City
Olathe Police Department,131342,185,1,KS,Olathe
Omaha Police Department,425076,2449,3,NE,Omaha
Ontario Police Department,168144,453,0,CA,Ontario
Orlando Police Department,253238,2316,5,FL,Orlando
Overland Park Police Department,180555,284,0,KS,Overland Park
Palm Bay Police Department,104391,451,0,FL,Palm Bay
Pasadena Police Department,139003,434,0,CA,Pasadena
Paterson Police Department,145082,1555,0,NJ,Paterson
Pearland Police Department,98183,152,1,TX,Pearland
Pembroke Pines Police Department,162064,275,1,FL,Pembroke Pines
Peoria Police Department,161641,254,0,AZ,Peoria
Philadelphia Police Department,1553153,17074,12,PA,Philadelphia
Phoenix Police Department,1502139,9492,18,AZ,Phoenix
Pittsburgh Bureau of Police,0,0,0,0,0
Plano Police Department,275795,389,0,TX,Plano
Pomona Police Department,151366,809,0,CA,Pomona
Port St. Lucie Police Department,169877,303,0,FL,Port St. Lucie
Portland Police Bureau,0,0,0,0,0
Prince William County Police Department,0,0,0,0,0
Providence Police Department,178887,1115,0,RI,Providence
Provo Police Department,116937,160,0,UT,Provo
Pueblo Police Department,108062,1011,1,CO,Pueblo
Raleigh Police Department,428993,1683,1,NC,Raleigh
Ramapo Town Police Department,87204,57,0,NY,Ramapo Town
Rialto Police Department,102520,434,0,CA,Rialto
Richardson Police Department,104577,128,0,TX,Richardson
Richmond Police Department,212830,1327,0,VA,Richmond
Richmond Police Department,212830,1327,0,VA,Richmond
Riverside Police Department,316423,1330,5,CA,Riverside
Rochester Police Department,109675,214,1,MN,Rochester
Rochester Police Department,109675,214,1,MN,Rochester
Rockford Police Department,150209,2065,0,IL,Rockford
Round Rock Police Department,108577,149,2,TX,Round Rock
Sacramento Police Department,478182,3137,2,CA,Sacramento
Salem Police Department,158234,520,0,OR,Salem
Salinas Police Department,155742,1001,1,CA,Salinas
Salt Lake City Police Department,190246,1475,0,UT,Salt Lake City
San Antonio Police Department,1399725,8828,7,TX,San Antonio
San Bernardino Police Department,214322,1949,0,CA,San Bernardino
San Diego Police Department,1349306,5303,6,CA,San Diego
San Francisco Police Department,833863,7064,1,CA,San Francisco
San Jose Police Department,992143,3215,3,CA,San Jose
Sandy Springs Police Department,101180,186,0,GA,Sandy Springs
Santa Ana Police Department,332848,1121,6,CA,Santa Ana
Santa Clara Police Department,120150,172,0,CA,Santa Clara
Santa Maria Police Department,102051,490,1,CA,Santa Maria
Savannah-Chatham Metro Police Department,0,0,0,0,0
Scottsdale Police Department,225523,337,1,AZ,Scottsdale
Seattle Police Department,642814,3758,5,WA,Seattle
Shreveport Police Department,202189,1397,1,LA,Shreveport
Simi Valley Police Department,126215,132,1,CA,Simi Valley
Sioux Falls Police Department,161754,636,1,SD,Sioux Falls
South Bend Police Department,100711,664,1,IN,South Bend
Spokane Police Department,209524,1440,3,WA,Spokane
Springfield Police Department,163062,1894,2,MO,Springfield
Springfield Police Department,163062,1894,2,MO,Springfield
Springfield Police Department,163062,1894,2,MO,Springfield
St. Louis Metropolitan Police Department,0,0,0,0,0
St. Paul Police Department,294690,2200,2,MN,St. Paul
St. Petersburg Police Department,247084,2379,8,FL,St. Petersburg
Stamford Police Department,125876,334,0,CT,Stamford
Sterling Heights Police Department,130634,244,0,MI,Sterling Heights
Stockton Police Department,299796,3622,1,CA,Stockton
Suffolk County Police Department,0,0,0,0,0
Sunnyvale Department of Public Safety,0,0,0,0,0
Surprise Police Department,122497,149,1,AZ,Surprise
Syracuse Police Department,143834,1192,0,NY,Syracuse
Tacoma Police Department,203226,1766,0,WA,Tacoma
Tallahassee Police Department,188714,1398,0,FL,Tallahassee
Tampa Police Department,351314,2097,0,FL,Tampa
Tempe Police Department,168501,831,1,AZ,Tempe
Thornton Police Department,125775,331,1,CO,Thornton
Toledo Police Department,0,0,0,0,0
Topeka Police Department,128009,612,1,KS,Topeka
Torrance Police Department,147534,187,1,CA,Torrance
Tucson Police Department,525486,3368,5,AZ,Tucson
Tulsa Police Department,394498,3827,1,OK,Tulsa
Tyler Police Department,100033,376,0,TX,Tyler
Vancouver Police Department,166535,593,0,WA,Vancouver
Ventura Police Department,108204,262,0,CA,Ventura
Virginia Beach Police Department,450687,730,1,VA,Virginia Beach
Waco Police Department,127570,515,0,TX,Waco
Warren Police Department,134167,679,0,MI,Warren
Washington Metropolitan Police Department,0,0,0,0,0
Waterbury Police Department,109763,410,0,CT,Waterbury
West Covina Police Department,107867,231,0,CA,West Covina
West Jordan Police Department,0,0,0,0,0
West Palm Beach Police Department,102510,701,1,FL,West Palm Beach
West Valley City Police Department,0,0,0,0,0
Wichita Falls Police Department,104514,401,0,TX,Wichita Falls
Wichita Police Department,386486,3065,2,KS,Wichita
Wilmington Police Department,110985,687,2,NC,Wilmington
Winston-Salem Police Department,235811,1426,0,NC,Winston-Salem
Woodbridge Township Police Department,100568,135,0,NJ,Woodbridge Township
Yonkers Police Department,199134,1036,0,NY,Yonkers
