City,State,Population,ViolentCrime
Palos Park,IL,4909,0
Pana,IL,5778,12
Paris,IL,8612,29
Park City,IL,7496,11
Park Forest,IL,22052,94
Park Ridge,IL,37788,15
Patoka,IL,571,0
Pawnee,IL,2747,0
Paxton,IL,4441,4
Pekin,IL,34085,120
Peoria,IL,115953,784
Peoria Heights,IL,6117,24
Peotone,IL,4160,7
Peru,IL,10155,13
Phoenix,IL,1976,10
Pierron,IL,587,0
Pinckneyville,IL,5582,12
Pingree Grove,IL,5028,2
Plainfield,IL,40639,20
Plano,IL,11104,2
Pleasant Plains,IL,807,0
Polo,IL,2300,6
Pontiac,IL,11802,51
Pontoon Beach,IL,5732,6
Posen,IL,6028,17
Princeton,IL,7484,12
Prospect Heights,IL,16399,27
Quincy,IL,40841,188
Raleigh,IL,352,0
Rantoul,IL,12933,106
Red Bud,IL,3613,14
Richmond,IL,1905,6
Richton Park,IL,13768,42
Riverdale,IL,13625,183
River Forest,IL,11229,15
River Grove,IL,10287,5
Riverside,IL,8908,15
Riverton,IL,3480,16
Riverwoods,IL,3656,1
Robbins,IL,5438,39
Robinson,IL,7677,30
Rochester,IL,3786,4
Rockdale,IL,1973,2
Rock Falls,IL,9100,21
Rockford,IL,150209,2065
Rock Island,IL,38893,200
Rockton,IL,7619,3
Rolling Meadows,IL,24283,23
Romeoville,IL,39778,30
Roodhouse,IL,1759,0
Roscoe,IL,10700,11
Roselle,IL,23047,10
Rosemont,IL,4238,15
Round Lake,IL,18496,27
Round Lake Beach,IL,28087,37
Round Lake Heights,IL,2728,8
Round Lake Park,IL,7425,16
Roxana,IL,1508,6
Ruma,IL,318,0
Rushville,IL,3154,2
Salem,IL,7349,6
Sauget,IL,155,10
Sauk Village,IL,10574,72
Savanna,IL,2944,17
Schaumburg,IL,74940,71
Schiller Park,IL,11876,9
Seneca,IL,2330,21
Sherman,IL,4396,2
Shiloh,IL,13212,25
Shorewood,IL,16387,18
Silvis,IL,7505,25
Skokie,IL,65155,157
Sleepy Hollow,IL,3349,1
Smithton,IL,3757,0
South Barrington,IL,4683,0
South Beloit,IL,7804,16
South Chicago Heights,IL,4162,12
South Elgin,IL,22295,30
South Holland,IL,22178,55
South Jacksonville,IL,3295,1
South Pekin,IL,1149,8
South Roxana,IL,2011,3
Sparta,IL,4295,8
Springfield,IL,117351,1191
Spring Grove,IL,5758,1
Stanford,IL,593,0
St. Anne,IL,1246,0
Staunton,IL,5124,8
St. Charles,IL,33433,20
Steger,IL,9595,32
Sterling,IL,15183,25
Stickney,IL,6826,8
Stockton,IL,1832,4
Stonington,IL,921,1
Streamwood,IL,40340,41
Streator,IL,13514,20
Stronghurst,IL,834,0
Summit,IL,11579,40
Swansea,IL,13821,28
Sycamore,IL,17469,11
Taylorville,IL,11158,25
Teutopolis,IL,1551,0
Thomasboro,IL,1135,10
Thornton,IL,2347,1
Tinley Park,IL,57270,46
Tolono,IL,3467,5
Tonica,IL,758,0
Tower Lakes,IL,1276,0
Troy,IL,9960,14
Tuscola,IL,4442,26
Urbana,IL,41598,141
Valmeyer,IL,1273,0
Vandalia,IL,7003,27
Vernon Hills,IL,25860,14
Vienna,IL,1462,8
Villa Park,IL,22095,27
Virden,IL,3479,10
Virginia,IL,1563,0
Wamac,IL,1165,10
Warrensburg,IL,1197,5
Warrenville,IL,13353,5
Washington,IL,15488,24
Washington Park,IL,4095,114
Watseka,IL,5172,13
Wauconda,IL,13792,4
Waukegan,IL,88763,405
Waverly,IL,1288,4
Wayne,IL,2478,0
Westchester,IL,16812,14
West Chicago,IL,27659,33
West City,IL,661,4
West Dundee,IL,7411,4
Westmont,IL,24965,26
Wheaton,IL,53614,32
Wheeling,IL,38027,38
White Hall,IL,2445,7
Willisville,IL,620,0
Willowbrook,IL,8654,6
Willow Springs,IL,5711,4
Wilmington,IL,5739,5
Winfield,IL,9507,2
Winnebago,IL,3055,1
Winnetka,IL,12425,7
Winthrop Harbor,IL,6728,16
Witt,IL,879,0
Wood Dale,IL,13953,9
Woodhull,IL,803,0
Wood River,IL,10442,31
Woodstock,IL,25164,17
Worth,IL,10859,8
Yorkville,IL,17657,12
Zion,IL,24338,146
Albion,IN,2344,0
Alexandria,IN,5060,6
Anderson,IN,55367,200
Angola,IN,8587,6
Auburn,IN,12802,11
Aurora,IN,3721,20
Batesville,IN,6489,26
Bedford,IN,13400,70
Beech Grove,IN,14384,33
Berne,IN,3964,1
Bloomington,IN,82415,275
Boonville,IN,6197,20
Bremen,IN,4597,15
Brownsburg,IN,22908,33
Carmel,IN,84880,20
Cedar Lake,IN,11688,13
Chesterfield,IN,2508,1
Clarksville,IN,21865,122
Clinton,IN,4810,16
Columbia City,IN,8850,4
Columbus,IN,45874,82
Crawfordsville,IN,16055,23
Cumberland,IN,5218,20
Danville,IN,9151,30
Decatur,IN,9345,10
Delphi,IN,2887,13
Dyer,IN,16369,11
East Chicago,IN,29397,196
Edinburgh,IN,4509,14
Ellettsville,IN,6584,25
Elwood,IN,8492,7
Evansville,IN,120284,564
Fairmount,IN,2906,4
Fishers,IN,83358,16
Fort Wayne,IN,254820,949
Franklin,IN,24034,69
Garrett,IN,6291,2
Gary,IN,78819,883
Goshen,IN,32195,30
Greenfield,IN,21175,12
Greensburg,IN,11675,32
Greenwood9,IN,53208,200
Griffith,IN,16671,30
Hagerstown,IN,1764,3
Hammond,IN,79329,654
Hartford City,IN,6053,6
Highland,IN,23372,9
Hobart,IN,28631,61
Huntington,IN,17271,27
Indianapolis,IN,850220,10479
Jasper,IN,15195,48
Jeffersonville,IN,45846,349
Knox,IN,3657,6
Kokomo,IN,56878,185
Lafayette,IN,68173,389
Lake Station,IN,12335,50
La Porte,IN,22112,44
Lawrenceburg,IN,5012,8
Ligonier,IN,4385,0
Linton,IN,5359,0
Long Beach,IN,1173,0
Lowell,IN,9354,18
Marion,IN,29549,80
Martinsville,IN,11823,7
Merrillville,IN,35756,99
Mishawaka,IN,47967,136
Mooresville,IN,9490,7
Mount Vernon,IN,6586,12
Muncie,IN,70059,288
Nappanee,IN,6694,3
New Albany,IN,36490,87
New Haven,IN,15575,24
New Whiteland,IN,5668,6
North Judson,IN,1759,6
North Liberty,IN,1890,0
North Manchester,IN,5987,11
North Vernon,IN,6640,22
Peru,IN,11219,21
Plainfield,IN,29644,50
Plymouth,IN,10034,7
Portage,IN,36862,70
Porter,IN,4883,1
Portland,IN,6278,1
Rensselaer,IN,5905,26
Rushville,IN,6204,10
Schererville,IN,28054,20
Scottsburg,IN,6614,28
Sellersburg5,IN,6150,0
Seymour,IN,18655,100
Shelbyville5,IN,19159,0
South Bend,IN,100711,664
South Whitley,IN,1728,1
Speedway,IN,11967,29
Tell City,IN,7228,4
Terre Haute9,IN,61215,177
Tipton,IN,4983,14
Valparaiso,IN,32090,33
Walkerton,IN,2284,1
Warsaw,IN,13897,106
Washington,IN,11813,43
Waterloo,IN,2240,11
Westfield,IN,32698,21
West Lafayette,IN,30687,37
Whitestown,IN,3778,19
Whiting,IN,4918,4
Winchester,IN,4866,1
Winona Lake,IN,4934,12
Zionsville,IN,24433,2
Adel,IA,3990,7
Albia,IA,3829,8
Algona,IA,5495,15
Altoona,IA,15683,19
Ames,IA,61193,88
Anamosa,IA,5653,2
Ankeny,IA,50194,43
Bettendorf,IA,34548,86
Bloomfield,IA,2591,6
Blue Grass,IA,1590,0
Boone,IA,12515,77
Buffalo,IA,1299,5
Camanche,IA,4422,5
Carlisle,IA,3939,5
Carroll,IA,9988,6
Carter Lake,IA,3755,19
Cedar Falls,IA,40213,52
Cedar Rapids,IA,128642,392
Centerville,IA,5444,28
Chariton,IA,4243,18
Charles City,IA,7471,19
Cherokee,IA,5149,14
Clarinda,IA,5455,26
Clear Lake,IA,7731,6
Clinton,IA,26572,178
Clive,IA,16467,28
Coralville,IA,19949,44
Council Bluffs,IA,62021,584
Cresco,IA,3894,5
Davenport,IA,101834,654
Decorah,IA,8103,1
Denison,IA,8411,4
Des Moines,IA,207391,1026
De Witt,IA,5273,8
Dubuque,IA,58313,132
Dyersville,IA,4093,10
Eagle Grove,IA,3496,14
Eldora,IA,2694,21
Eldridge,IA,5979,13
Emmetsburg,IA,3820,1
Estherville,IA,6179,24
Evansdale,IA,4754,21
Fairfield,IA,9488,13
Forest City,IA,3967,3
Fort Dodge,IA,24632,157
Fort Madison,IA,11012,52
Glenwood,IA,5220,28
Grinnell,IA,9090,34
Grundy Center,IA,2719,0
Hampton,IA,4378,3
Hawarden,IA,2548,2
Hiawatha,IA,7173,4
Humboldt,IA,4644,4
Indianola,IA,14993,73
Iowa City,IA,70855,228
Iowa Falls,IA,5117,3
Jefferson,IA,4233,1
Johnston,IA,19175,7
Keokuk,IA,10720,103
Le Claire,IA,3918,16
Le Mars,IA,9788,10
Leon,IA,1896,5
Lisbon,IA,2172,3
Manchester,IA,5103,13
Maquoketa,IA,6066,21
Marengo,IA,2485,3
Marion,IA,36181,56
Marshalltown,IA,27722,172
Mason City,IA,27747,30
Monticello,IA,3795,9
Mount Vernon,IA,4609,5
Muscatine,IA,23027,146
New Hampton,IA,3542,2
Newton,IA,15064,41
North Liberty,IA,14821,44
Norwalk,IA,9554,10
Oelwein,IA,6350,34
Orange City,IA,6187,3
Osage,IA,3626,8
Osceola,IA,5064,10
Oskaloosa,IA,11570,49
Ottumwa,IA,24738,74
Pella,IA,10418,35
Perry,IA,8065,29
Pleasant Hill,IA,9072,6
Prairie City,IA,1672,3
Red Oak,IA,5614,19
Sergeant Bluff,IA,4280,15
Sheldon,IA,5096,10
Shenandoah,IA,5084,3
Sioux City,IA,82676,324
Spencer,IA,11186,19
Spirit Lake,IA,4955,9
State Center,IA,1477,0
Storm Lake,IA,10812,54
Story City,IA,3424,2
Toledo,IA,2257,46
Urbandale,IA,41499,67
Vinton,IA,5187,4
Walcott,IA,1626,3
Washington,IA,7346,54
Waukee,IA,16633,10
Waukon,IA,3861,1
Waverly,IA,10089,54
Webster City,IA,7830,28
West Burlington,IA,3027,7
West Des Moines,IA,60068,90
West Liberty,IA,3729,7
Williamsburg,IA,3076,1
Wilton,IA,2810,3
Windsor Heights,IA,4880,10
Winterset,IA,5174,6
Abilene,KS,6743,11
Andover,KS,12188,8
Anthony,KS,2203,14
Arkansas City,KS,12322,87
Arma,KS,1482,5
Atchison,KS,10940,33
Atwood,KS,1215,4
Auburn,KS,1229,0
Augusta,KS,9197,33
Baldwin City,KS,4527,0
Basehor,KS,4828,0
Baxter Springs,KS,4139,5
Bel Aire,KS,6857,9
Belleville,KS,1928,6
Beloit,KS,3832,14
Bentley,KS,527,0
Benton,KS,871,0
Bonner Springs,KS,7450,24
Bucklin,KS,808,0
Burlington,KS,2645,4
Burrton,KS,899,1
Caney,KS,2135,1
Chanute,KS,9176,38
Chase,KS,463,0
Clay Center,KS,4306,16
Clearwater,KS,2491,3
Coffeyville,KS,9902,100
Colby,KS,5403,19
Columbus,KS,3232,1
Concordia,KS,5296,27
Council Grove,KS,2154,6
Derby,KS,23104,36
Dodge City,KS,28265,68
Edwardsville,KS,4387,13
El Dorado,KS,12859,52
Ellsworth,KS,3113,2
Elwood,KS,1203,4
Enterprise,KS,847,0
Eudora,KS,6196,8
Fairway,KS,3957,4
Fort Scott,KS,7887,57
Frontenac,KS,3466,4
Galena,KS,3012,15
Garden City,KS,27047,124
Garnett,KS,3297,4
Girard,KS,2798,4
Goddard,KS,4572,7
Grandview Plaza,KS,1809,3
Great Bend,KS,15896,74
Halstead,KS,2093,3
Hays,KS,21156,71
Herington,KS,2481,7
Hesston,KS,3749,2
Hiawatha,KS,3120,8
Hill City,KS,1456,3
Hillsboro,KS,2904,1
Hoisington,KS,2686,14
Holcomb,KS,2124,3
Holton,KS,3292,7
Horton,KS,1743,5
Hugoton,KS,3931,4
Hutchinson,KS,41909,251
Inman,KS,1392,1
Iola,KS,5697,24
Junction City,KS,26491,147
Kansas City,KS,147618,731
Kingman,KS,3169,9
Lansing,KS,11688,21
Larned,KS,4012,14
Lawrence,KS,90034,338
Leavenworth,KS,35965,234
Leawood,KS,32748,13
Lebo,KS,927,0
Lenexa,KS,49777,58
Le Roy,KS,553,0
Liberal,KS,21261,53
Lindsborg,KS,3468,6
Louisburg,KS,4268,2
Maize,KS,3787,6
Maple Hill,KS,619,0
Marion,KS,1862,3
Marysville,KS,3296,6
McLouth,KS,860,3
McPherson,KS,13245,41
Medicine Lodge,KS,2008,5
Mission,KS,9511,21
Mission Hills,KS,3584,0
Mulvane,KS,6307,8
Neodesha,KS,2378,9
Newton,KS,19196,123
North Newton,KS,1784,0
Norton,KS,2863,6
Oakley,KS,2063,3
Oberlin,KS,1716,0
Olathe,KS,131342,185
Osage City,KS,2890,3
Osawatomie,KS,4368,16
Oswego,KS,1796,2
Ottawa,KS,12546,30
Overland Park,KS,180555,284
Paola,KS,5529,18
Park City,KS,7475,10
Peabody,KS,1162,1
Pittsburg,KS,20395,96
Plainville,KS,1920,0
Prairie Village,KS,21870,10
Pratt,KS,6900,19
Rose Hill,KS,3931,6
Russell,KS,4471,24
Salina,KS,48120,155
Scott City,KS,3814,14
Scranton,KS,701,1
Sedgwick,KS,1702,1
Seneca,KS,1990,2
Shawnee,KS,64060,87
South Hutchinson,KS,2498,7
Spring Hill,KS,5665,5
St. John,KS,1257,9
St. Marys,KS,2664,4
Stockton,KS,1343,3
Tonganoxie,KS,5138,13
Topeka,KS,128009,612
Ulysses,KS,6262,13
Valley Center,KS,7009,15
Victoria,KS,1237,0
Wa Keeney,KS,1852,0
Wamego,KS,4514,4
Waterville,KS,664,0
Wathena,KS,1348,3
Waverly,KS,574,0
Wellington,KS,7945,34
Wellsville,KS,1840,4
Westwood,KS,2071,0
Wichita,KS,386486,3065
Winchester,KS,543,0
Yates Center,KS,1400,0
Adairville,KY,840,0
Albany,KY,2032,0
Alexandria,KY,8683,5
Anchorage,KY,2391,0
Ashland,KY,21432,41
Auburn,KY,1330,3
Audubon Park,KY,1496,0
Barbourville,KY,3139,8
Bardstown,KY,12916,13
Bardwell,KY,711,0
Beattyville,KY,1269,2
Beaver Dam,KY,3527,2
Bellevue,KY,5918,10
Benham,KY,484,0
Benton,KY,4407,2
Berea,KY,14331,11
Bloomfield,KY,858,0
Bowling Green,KY,61130,201
Brandenburg,KY,2867,0
Brownsville,KY,829,1
Burkesville,KY,1526,2
Burnside,KY,828,1
Cadiz,KY,2624,5
Calvert City,KY,2540,1
Campbellsville,KY,10804,47
Carlisle,KY,1956,2
Carrollton,KY,3966,3
Catlettsburg,KY,1829,5
Cave City,KY,2283,5
Central City,KY,5891,6
Clarkson,KY,886,0
Clay,KY,1180,0
Clay City,KY,1062,1
Cloverport,KY,1159,0
Coal Run Village,KY,1678,0
Cold Spring,KY,6194,5
Columbia,KY,4490,5
Corbin,KY,7257,16
Covington,KY,40766,241
Cumberland,KY,2151,7
Cynthiana,KY,6305,14
Danville,KY,16388,39
Dawson Springs,KY,2753,1
Dayton,KY,5368,21
Earlington,KY,1407,0
Eddyville,KY,2578,0
Edgewood,KY,8679,3
Edmonton,KY,1569,1
Elizabethtown,KY,29470,35
Elkton,KY,2211,4
Elsmere,KY,8478,15
Eminence,KY,2478,2
Erlanger,KY,18432,27
Evarts,KY,939,0
Falmouth,KY,2137,2
Ferguson,KY,948,0
Flatwoods,KY,7412,1
Flemingsburg,KY,2702,0
Florence,KY,31434,62
Fort Mitchell,KY,8240,4
Fort Thomas,KY,16227,9
Fort Wright,KY,5703,19
Frankfort,KY,27680,81
Franklin,KY,8581,14
Fulton,KY,2310,10
Gamaliel,KY,369,0
Georgetown,KY,30611,78
Glasgow,KY,14117,30
Graymoor-Devondale,KY,2914,1
Grayson,KY,4082,2
Greensburg,KY,2180,0
Greenup,KY,1176,0
Greenville,KY,4415,1
Guthrie,KY,1442,0
Hardinsburg,KY,2343,2
Harlan,KY,1677,14
Harrodsburg,KY,8301,16
Hartford,KY,2712,1
Hawesville,KY,1000,0
Hazard,KY,5455,30
Henderson,KY,28952,66
Heritage Creek,KY,1099,0
Highland Heights,KY,6938,1
Hillview,KY,9465,14
Hodgenville,KY,3228,1
Hopkinsville,KY,33253,107
Hurstbourne Acres,KY,1847,0
Independence,KY,25937,22
Indian Hills,KY,2918,0
Irvine,KY,2431,0
Irvington,KY,1193,0
Jackson,KY,2168,3
Jamestown,KY,1790,0
Jeffersontown,KY,27017,37
Jenkins,KY,2131,0
La Grange,KY,8277,4
Lakeside Park-Crestview Hills,KY,5881,4
Lancaster,KY,3429,4
Lawrenceburg,KY,11080,17
Lebanon,KY,5649,9
Lebanon Junction,KY,1861,4
Leitchfield,KY,6814,10
Lewisburg,KY,801,1
Lewisport,KY,1701,3
Lexington,KY,308712,946
Liberty,KY,2196,0
London,KY,6067,8
Louisa,KY,2465,1
Louisville Metro,KY,671120,3644
Loyall,KY,664,0
Ludlow,KY,4536,8
Lynnview,KY,928,1
Madisonville,KY,19761,26
Manchester,KY,1425,2
Marion,KY,3021,6
Martin,KY,620,0
Mayfield,KY,10141,32
Maysville,KY,9024,14
McKee,KY,784,0
Meadow Vale,KY,748,1
Middlesboro,KY,9953,28
Monticello,KY,6189,5
Morehead,KY,6864,11
Morganfield,KY,3242,4
Morgantown,KY,2469,2
Mortons Gap,KY,859,0
Mount Sterling,KY,7023,15
Mount Vernon,KY,2469,3
Mount Washington,KY,9377,3
Muldraugh,KY,1092,3
Munfordville,KY,1635,1
Murray,KY,18048,38
New Haven,KY,875,1
Newport,KY,15425,63
Nicholasville,KY,28497,70
Northfield,KY,1040,0
Oak Grove,KY,7638,22
Olive Hill,KY,1574,1
Owensboro,KY,58304,140
Owenton,KY,1540,0
Owingsville,KY,1553,1
Paducah,KY,25064,72
Paintsville,KY,4123,3
Paris,KY,9752,16
Park Hills,KY,2993,3
Pembroke,KY,903,0
Perryville,KY,756,0
Pewee Valley,KY,1486,0
Pikeville,KY,6870,5
Pineville,KY,1834,2
Pioneer Village,KY,496,0
Powderly,KY,736,0
Prestonsburg,KY,3210,10
Princeton,KY,6293,8
Prospect,KY,4818,0
Providence,KY,3171,7
Raceland,KY,2377,3
Radcliff,KY,23177,46
Ravenna,KY,595,0
Richmond,KY,32333,95
Russell,KY,3319,4
Russell Springs,KY,2455,3
Russellville,KY,6949,13
Salyersville,KY,1831,1
Science Hill,KY,698,0
Scottsville,KY,4310,4
Shelbyville,KY,14743,32
Shepherdsville,KY,11534,25
Shively,KY,15511,93
Silver Grove,KY,1108,1
Simpsonville,KY,2608,1
Smiths Grove,KY,723,0
Somerset,KY,11352,23
Southgate,KY,3806,6
South Shore,KY,1115,0
Springfield,KY,2577,6
Stanford,KY,3689,6
Stanton,KY,2697,1
St. Matthews,KY,17768,31
Strathmoor Village,KY,658,0
Sturgis,KY,1888,1
Taylor Mill,KY,6670,1
Taylorsville,KY,782,0
Tompkinsville,KY,2311,1
Trenton,KY,392,0
Uniontown,KY,983,0
Vanceburg,KY,1466,1
Versailles,KY,8881,32
Villa Hills,KY,7362,0
Vine Grove,KY,5298,9
Warsaw,KY,1655,1
Wayland,KY,419,0
West Buechel,KY,1255,14
West Liberty,KY,3385,1
West Point,KY,766,4
Wheelwright,KY,771,0
Whitesburg,KY,2060,0
Wilder,KY,3045,3
Williamsburg,KY,5258,7
Williamstown,KY,3887,2
Wilmore,KY,3804,0
Winchester,KY,18478,52
Worthington,KY,1592,0
Abbeville,LA,12429,120
Addis,LA,4101,8
Alexandria,LA,48488,803
Amite,LA,4229,81
Baker,LA,13884,31
Bastrop,LA,11097,155
Baton Rouge,LA,230212,2127
Bernice,LA,1644,1
Berwick,LA,4828,2
Blanchard,LA,2922,0
Bogalusa,LA,11998,106
Bossier City,LA,65578,394
Breaux Bridge,LA,8236,11
Broussard,LA,8770,30
Brusly,LA,2543,3
Carencro,LA,8216,31
Church Point,LA,4528,11
Clarence,LA,493,0
Clinton,LA,1619,1
Cottonport,LA,1972,17
Coushatta,LA,1928,9
Covington,LA,9146,40
Delta,LA,285,3
Denham Springs,LA,10102,60
De Quincy,LA,3165,0
De Ridder,LA,10794,78
Epps,LA,848,0
Erath,LA,2104,20
Eunice,LA,10372,98
Farmerville,LA,3797,19
Ferriday,LA,3411,18
Fisher,LA,230,2
Florien,LA,635,1
Folsom,LA,728,1
Franklin,LA,7429,60
Franklinton,LA,3798,22
French Settlement,LA,1114,2
Georgetown,LA,318,0
Golden Meadow,LA,2079,0
Gonzales,LA,10301,66
Grambling,LA,4955,15
Gramercy,LA,3474,13
Greenwood,LA,3268,10
Gretna,LA,17760,67
Hammond,LA,20162,251
Harahan,LA,9296,15
Haughton,LA,3495,3
Hodge,LA,465,2
Houma,LA,33717,204
Independence,LA,1654,21
Iowa,LA,3160,62
Jeanerette,LA,5591,14
Jena,LA,3409,3
Jennings,LA,10211,30
Jonesville,LA,2220,20
Kaplan,LA,4596,22
Kenner,LA,66854,193
Kentwood,LA,2252,29
Killian,LA,1260,1
Kinder,LA,2426,13
Lafayette,LA,123409,868
Lake Arthur,LA,2728,3
Lake Charles,LA,73894,547
Lake Providence,LA,3810,29
Leesville,LA,6869,29
Livonia,LA,1439,1
Lutcher,LA,3403,13
Mandeville,LA,12162,24
Mansfield,LA,5034,47
Many,LA,2814,33
Marion,LA,750,1
Marksville,LA,5625,77
Minden,LA,12965,31
Monroe,LA,49396,516
Montgomery,LA,706,8
Montpelier,LA,261,1
Moreauville,LA,913,1
Morgan City,LA,12037,60
Napoleonville,LA,645,1
Natchitoches,LA,18292,149
New Orleans,LA,377022,2965
North Hodge,LA,387,2
Norwood,LA,317,3
Oak Grove,LA,1702,5
Oil City,LA,1021,2
Opelousas,LA,16527,299
Patterson,LA,6079,10
Pearl River,LA,2567,15
Pineville,LA,14555,81
Plaquemine,LA,7019,46
Pollock,LA,456,1
Ponchatoula,LA,6754,38
Port Vincent,LA,733,0
Rayne,LA,8031,37
Roseland,LA,1158,3
Ruston,LA,21969,90
Scott,LA,8801,18
Shreveport,LA,202189,1397
Slidell,LA,27450,96
St. Francisville,LA,1687,4
St. Gabriel,LA,6783,24
Sulphur,LA,20064,140
Thibodaux,LA,14544,68
Tickfaw,LA,712,1
Vidalia,LA,4141,21
Vinton,LA,3191,8
Walker,LA,6172,38
West Monroe,LA,13081,94
Westwego,LA,8521,23
Wilson,LA,582,0
Winnfield,LA,4683,81
Zachary,LA,15749,39
Zwolle,LA,1990,7
Ashland,ME,1277,0
Auburn,ME,22948,32
Augusta,ME,18893,68
Baileyville,ME,1487,10
Bangor,ME,32744,70
Bar Harbor,ME,5275,3
Bath,ME,8384,8
Belfast,ME,6654,9
Berwick,ME,7529,8
Biddeford,ME,21324,119
Boothbay Harbor,ME,2135,1
Brewer,ME,9376,7
Bridgton,ME,5308,7
Brownville,ME,1225,1
Brunswick,ME,20354,23
Bucksport,ME,4937,8
Buxton,ME,8103,11
Calais,ME,3054,11
Camden,ME,4848,2
Cape Elizabeth,ME,9104,0
Caribou,ME,8012,6
Carrabassett Valley,ME,780,0
Clinton,ME,3425,4
Cumberland,ME,7353,1
Damariscotta,ME,2204,2
Dexter,ME,3856,5
Dixfield,ME,2504,1
Dover-Foxcroft,ME,4110,9
East Millinocket,ME,3027,0
Eastport,ME,1302,3
Eliot,ME,6257,4
Ellsworth,ME,7853,5
Fairfield,ME,6657,6
Falmouth,ME,11468,5
Farmington6,ME,7657,14
Fort Fairfield,ME,3412,4
Fort Kent,ME,4055,2
Freeport,ME,8094,3
Fryeburg,ME,3407,5
Gardiner,ME,5731,10
Gorham,ME,16764,14
Gouldsboro,ME,1733,1
Greenville,ME,1624,4
Hallowell,ME,2362,4
Hampden,ME,7275,4
Holden,ME,3094,1
Houlton,ME,6046,6
Islesboro,ME,568,0
Jay,ME,4827,3
Kennebunk,ME,11023,7
Kennebunkport,ME,3517,1
Kittery,ME,9540,11
Lewiston,ME,36422,89
Limestone,ME,2269,3
Lincoln,ME,5094,2
Lisbon,ME,8923,5
Livermore Falls,ME,3161,2
Machias,ME,2173,8
Madawaska,ME,3957,2
Madison,ME,4776,4
Mechanic Falls,ME,3013,6
Mexico,ME,2633,3
Milbridge,ME,1340,2
Millinocket,ME,4430,3
Milo,ME,2295,18
Monmouth,ME,4105,1
Mount Desert,ME,2059,0
Newport,ME,3250,2
North Berwick,ME,4620,3
Norway,ME,4970,9
Oakland,ME,6253,3
Ogunquit,ME,905,1
Old Orchard Beach,ME,8681,11
Old Town,ME,7736,11
Orono,ME,10663,3
Oxford,ME,4075,4
Paris,ME,5140,2
Phippsburg,ME,2230,0
Pittsfield,ME,4162,0
Portland,ME,66256,177
Presque Isle,ME,9483,13
Rangeley,ME,1176,1
Richmond,ME,3388,0
Rockland,ME,7205,8
Rockport,ME,3314,0
Rumford,ME,5738,6
Sabattus,ME,5060,6
Saco,ME,18848,24
Sanford,ME,20913,70
Scarborough,ME,19252,17
Searsport,ME,2618,0
Skowhegan,ME,8537,18
South Berwick,ME,7275,4
South Portland,ME,25126,60
Southwest Harbor,ME,1765,0
Swan's Island,ME,331,0
Thomaston,ME,2776,0
Topsham,ME,8728,4
Van Buren,ME,2125,0
Veazie,ME,1895,1
Waldoboro,ME,5016,4
Washburn,ME,1651,1
Waterville,ME,15897,43
Wells,ME,9803,5
Westbrook,ME,17647,38
Wilton,ME,4066,5
Windham,ME,17363,9
Winslow,ME,7704,11
Winter Harbor,ME,514,1
Winthrop,ME,6051,3
Wiscasset,ME,3673,8
Yarmouth,ME,8460,6
York,ME,12695,8
Aberdeen,MD,15039,50
Annapolis,MD,38649,169
Baltimore,MD,622671,8725
Bel Air,MD,10314,47
Berlin,MD,4589,5
Berwyn Heights,MD,3198,7
Bladensburg,MD,9381,95
Boonsboro,MD,3457,2
Bowie,MD,56483,61
Brentwood,MD,3116,1
Brunswick,MD,6078,8
Cambridge,MD,12530,119
Capitol Heights,MD,4455,15
Centreville,MD,4503,6
Chestertown,MD,5406,27
Cheverly,MD,6325,29
Chevy Chase Village,MD,2024,0
Colmar Manor,MD,1436,12
Cottage City,MD,1339,4
Crisfield,MD,2656,11
Cumberland,MD,20495,160
Delmar,MD,3047,10
Denton,MD,4357,13
District Heights,MD,5982,6
Easton,MD,16721,41
Edmonston,MD,1483,7
Elkton,MD,15629,194
Fairmount Heights,MD,1532,0
Federalsburg,MD,2683,41
Forest Heights,MD,2504,4
Frederick,MD,66709,328
Frostburg,MD,8740,19
Fruitland,MD,5158,20
Glenarden,MD,6163,9
Greenbelt,MD,23680,106
Greensboro,MD,1888,9
Hagerstown,MD,40866,244
Hampstead,MD,6336,6
Hancock,MD,1562,1
Havre de Grace,MD,13530,35
Hurlock,MD,2060,4
Hyattsville,MD,17955,76
Landover Hills,MD,1776,10
La Plata,MD,9032,45
Laurel,MD,25675,147
Lonaconing,MD,1164,0
Luke,MD,64,0
Manchester,MD,4806,5
Morningside,MD,2049,6
Mount Rainier,MD,8268,50
New Carrollton,MD,12456,46
North East,MD,3685,7
Oakland,MD,1896,1
Ocean City,MD,7086,83
Ocean Pines,MD,12024,30
Oxford,MD,638,0
Perryville,MD,4401,13
Pocomoke City,MD,4163,49
Princess Anne,MD,3302,22
Ridgely,MD,1608,10
Rising Sun,MD,2874,3
Riverdale Park,MD,7126,51
Rock Hall,MD,1321,4
Salisbury,MD,31517,326
Seat Pleasant,MD,4653,34
Smithsburg,MD,2989,1
Snow Hill,MD,2112,15
St. Michaels,MD,1017,2
Sykesville,MD,4453,4
Takoma Park,MD,17349,60
Taneytown,MD,6730,6
Thurmont,MD,6405,11
Trappe,MD,1064,4
University Park,MD,2603,2
Upper Marlboro,MD,639,1
Westminster,MD,18632,88
Abington,MA,16121,48
Acton,MA,22871,8
Acushnet,MA,10362,19
Adams,MA,8352,21
Agawam,MA,28659,41
