City,State,Population,ViolentCrime
Eagar,AZ,5034,15
El Mirage,AZ,32837,86
Eloy,AZ,17602,72
Flagstaff,AZ,67963,246
Florence,AZ,26682,24
Fredonia,AZ,1318,3
Gilbert,AZ,225232,193
Glendale,AZ,234006,905
Globe,AZ,7414,77
Goodyear,AZ,71048,94
Holbrook,AZ,4988,49
Huachuca City,AZ,1811,0
Jerome,AZ,444,3
Kearny,AZ,2010,8
Kingman,AZ,28400,128
Lake Havasu City,AZ,52891,87
Mammoth,AZ,1473,5
Marana,AZ,37469,37
Maricopa,AZ,44871,62
Mesa,AZ,456155,1807
Miami,AZ,1793,19
Nogales,AZ,20736,39
Page,AZ,7330,59
Paradise Valley,AZ,13286,13
Payson,AZ,15192,56
Peoria,AZ,161641,254
Phoenix,AZ,1502139,9492
Pima,AZ,2427,4
Pinetop-Lakeside,AZ,4266,34
Prescott,AZ,40752,124
Prescott Valley,AZ,39209,82
Quartzsite6,AZ,3648,16
Sahuarita,AZ,26535,17
San Luis,AZ,28231,37
Scottsdale,AZ,225523,337
Sedona,AZ,10036,20
Show Low,AZ,10732,125
Snowflake-Taylor,AZ,9651,21
Somerton,AZ,15014,15
South Tucson,AZ,5694,150
Springerville,AZ,2009,9
St. Johns,AZ,3584,19
Surprise,AZ,122497,149
Tempe,AZ,168501,831
Thatcher,AZ,4999,1
Tolleson,AZ,6754,37
Tucson,AZ,525486,3368
Wickenburg,AZ,6583,15
Willcox,AZ,3678,11
Williams,AZ,3019,12
Winslow,AZ,9326,95
Yuma,AZ,96014,587
Arkadelphia,AR,10829,40
Ashdown,AR,4616,11
Ash Flat,AR,1069,1
Atkins,AR,3036,2
Bald Knob,AR,2931,3
Barling,AR,4733,19
Bay,AR,1825,1
Bearden,AR,930,4
Beebe,AR,7744,19
Bella Vista,AR,27606,26
Benton,AR,32548,107
Bentonville,AR,39132,61
Berryville,AR,5417,7
Blytheville,AR,15220,235
Booneville,AR,3922,4
Bradford,AR,768,3
Brinkley,AR,3024,13
Brookland,AR,1863,2
Bryant,AR,19366,12
Bull Shoals,AR,1975,8
Cabot,AR,24695,55
Caddo Valley,AR,622,1
Camden,AR,11726,63
Cammack Village,AR,760,0
Caraway,AR,1279,6
Carlisle,AR,2210,12
Cave City,AR,1881,4
Cave Springs,AR,2060,5
Centerton,AR,10377,19
Charleston,AR,2532,11
Cherokee Village,AR,4613,8
Clarendon,AR,1576,2
Clarksville,AR,9319,15
Clinton,AR,2561,3
Conway,AR,64060,239
Corning,AR,3254,13
Cotter,AR,954,2
Crossett,AR,5383,27
Danville,AR,2370,3
Dardanelle,AR,4672,21
Decatur,AR,1766,9
De Queen,AR,6636,11
Dermott,AR,2775,3
Des Arc,AR,1657,0
De Witt,AR,3259,20
Diaz,AR,1274,6
Dover,AR,1393,2
Dumas,AR,4481,11
Earle,AR,2342,4
El Dorado,AR,18375,164
England,AR,2806,22
Eudora,AR,2169,8
Fairfield Bay,AR,2295,5
Farmington,AR,6230,22
Fayetteville,AR,77900,339
Flippin,AR,1343,3
Fordyce,AR,4218,16
Forrest City,AR,15184,135
Fort Smith,AR,87821,606
Gassville,AR,2048,1
Gentry,AR,3341,6
Glenwood,AR,2218,7
Gosnell,AR,3455,25
Gravette,AR,2409,4
Greenbrier,AR,5082,0
Green Forest,AR,2768,14
Greenland,AR,1312,6
Greenwood,AR,9223,19
Greers Ferry,AR,881,3
Gurdon,AR,2184,12
Hamburg,AR,2828,22
Hampton,AR,1306,5
Hardy,AR,763,2
Harrisburg,AR,2317,10
Harrison,AR,13234,71
Heber Springs,AR,7146,18
Helena-West Helena,AR,11591,148
Highfill,AR,620,0
Highland,AR,1031,1
Hope,AR,10020,82
Hot Springs,AR,35551,140
Hoxie,AR,2690,6
Jacksonville,AR,28739,217
Jonesboro,AR,71114,313
Kensett,AR,1682,3
Lake City,AR,2199,3
Lakeview,AR,727,1
Lake Village,AR,2482,31
Lamar,AR,1678,3
Leachville,AR,1941,5
Lepanto,AR,1861,10
Lincoln,AR,2345,3
Little Rock,AR,197399,2777
Lonoke,AR,4244,32
Lowell,AR,7832,6
Magnolia,AR,11682,48
Malvern,AR,10981,8
Marianna,AR,4035,8
Marion,AR,12258,91
Marmaduke,AR,1147,4
Marvell,AR,1112,2
Maumelle,AR,17686,20
Mayflower,AR,2336,6
McCrory,AR,1673,0
McGehee,AR,4024,57
McRae,AR,691,1
Mena,AR,5721,21
Mineral Springs,AR,1200,1
Monette,AR,1502,3
Monticello,AR,9830,47
Morrilton,AR,6789,18
Mountain Home,AR,12246,24
Mountain View,AR,2838,10
Mulberry,AR,1634,10
Murfreesboro,AR,1635,0
Nashville,AR,4607,5
Newport,AR,7658,28
North Little Rock,AR,65398,461
Ola,AR,1257,3
Osceola,AR,7494,99
Ozark,AR,3653,18
Pangburn,AR,607,0
Paragould,AR,27294,127
Paris,AR,3457,35
Pea Ridge,AR,5006,6
Perryville,AR,1448,1
Piggott,AR,3751,9
Plummerville,AR,822,7
Pottsville,AR,3064,6
Prairie Grove,AR,4737,14
Quitman,AR,752,0
Redfield,AR,1428,1
Rison,AR,1329,2
Rogers,AR,59787,208
Russellville,AR,28760,94
Salem,AR,1650,8
Sheridan,AR,4834,13
Sherwood,AR,29900,130
Siloam Springs,AR,15873,46
Springdale,AR,73939,354
Stamps,AR,1635,4
Star City,AR,2206,12
Stuttgart,AR,9263,44
Swifton,AR,773,0
Texarkana,AR,30074,305
Trumann,AR,7163,60
Van Buren,AR,23063,107
Vilonia,AR,4202,6
Waldron,AR,3516,16
Walnut Ridge,AR,4714,6
Ward,AR,4454,28
Warren,AR,5947,22
White Hall,AR,5381,5
Wynne,AR,8323,33
Adelanto,CA,31165,198
Agoura Hills,CA,20762,19
Alameda,CA,76206,158
Albany,CA,19104,29
Alhambra,CA,84710,163
Aliso Viejo,CA,50005,25
Alturas,CA,2681,28
American Canyon,CA,20068,54
Anaheim,CA,345320,1130
Anderson,CA,10098,63
Antioch,CA,106447,946
Apple Valley,CA,71159,185
Arcadia,CA,57855,77
Arcata,CA,17805,67
Arroyo Grande,CA,17634,31
Artesia,CA,16734,63
Arvin,CA,20390,153
Atascadero,CA,28938,97
Atherton,CA,7278,10
Atwater,CA,28906,182
Auburn,CA,13779,49
Avalon,CA,3777,4
Avenal,CA,14712,62
Azusa,CA,47754,246
Bakersfield,CA,361859,1857
Baldwin Park,CA,76745,220
Banning,CA,30503,129
Barstow,CA,23144,229
Bear Valley,CA,5328,12
Beaumont,CA,40208,85
Bell,CA,35928,208
Bellflower,CA,77594,279
Bell Gardens,CA,42980,120
Belmont,CA,26697,27
Belvedere,CA,2120,0
Benicia,CA,27558,30
Berkeley,CA,116217,562
Beverly Hills,CA,34780,77
Big Bear Lake,CA,5144,56
Biggs,CA,1711,16
Bishop,CA,3861,28
Blythe,CA,20629,65
Bradbury,CA,1080,1
Brawley,CA,25753,61
Brea,CA,40600,64
Brentwood,CA,54301,89
Brisbane,CA,4429,5
Broadmoor,CA,4301,14
Buellton,CA,4927,7
