,State,Tally
San Diego Police Department,CA,6
San Francisco Police Department,CA,1
San Jose Police Department,CA,3
Sandy Springs Police Department,GA,0
Santa Ana Police Department,CA,6
Santa Clara Police Department,CA,0
Santa Maria Police Department,CA,1
Savannah-Chatham Metro Police Department,GA,0
Scottsdale Police Department,AZ,1
Seattle Police Department,WA,5
Shreveport Police Department,LA,1
Simi Valley Police Department,CA,1
Sioux Falls Police Department,SD,1
South Bend Police Department,IN,1
Spokane Police Department,WA,3
Springfield Police Department,IL,2
Springfield Police Department,MA,2
Springfield Police Department,MO,2
St. Louis Metropolitan Police Department,MO,7
St. Paul Police Department,MN,2
St. Petersburg Police Department,FL,8
Stamford Police Department,CT,0
Sterling Heights Police Department,MI,0
Stockton Police Department,CA,1
Suffolk County Police Department,NY,3
Sunnyvale Department of Public Safety,CA,0
Surprise Police Department,AZ,1
Syracuse Police Department,NY,0
Tacoma Police Department,WA,0
Tallahassee Police Department,FL,0
Tampa Police Department,FL,0
Tempe Police Department,AZ,1
Thornton Police Department,CO,1
Toledo Police Department,OH,1
Topeka Police Department,KS,1
Torrance Police Department,CA,1
Tucson Police Department,AZ,5
Tulsa Police Department,OK,1
Tyler Police Department,TX,0
Vancouver Police Department,WA,0
Ventura Police Department,CA,0
Virginia Beach Police Department,VA,1
Waco Police Department,TX,0
Warren Police Department,MI,0
Washington Metropolitan Police Department,DC,0
Waterbury Police Department,CT,0
West Covina Police Department,CA,0
West Jordan Police Department,UT,0
West Palm Beach Police Department,FL,1
West Valley City Police Department,UT,0
Wichita Falls Police Department,TX,0
Wichita Police Department,KS,2
Wilmington Police Department,NC,2
Winston-Salem Police Department,NC,0
Woodbridge Township Police Department,NJ,0
Yonkers Police Department,NY,0
